Time,RPM
(s),-
10.249,0
10.5,0
10.749,0
11.0,0
11.25,0
11.501,0
11.751,0
12.002,0
12.252,0
12.503,0
12.752,0
13.003,0
13.253,0
13.504,0
13.754,0
14.005,0
14.255,0
14.505,0
14.755,0
15.006,0
15.256,0
15.507,0
15.757,0
16.008,0
16.258,0
16.508,0
16.758,0
17.008,0
17.259,1280
17.51,7280
17.76,7440
18.011,0
18.26,12560
18.511,0
18.762,0
19.012,12560
19.263,0
19.513,12560
19.764,0
20.015,0
20.264,12560
20.515,0
20.765,12480
21.016,0
21.267,0
21.517,12480
21.768,0
22.018,0
22.268,12480
22.519,0
22.769,12560
23.02,0
23.27,0
23.521,12480
23.772,0
24.022,12400
24.272,0
24.522,0
24.773,12480
25.024,0
25.274,12400
25.525,0
25.775,0
26.025,12560
26.276,0
26.526,0
26.777,12400
27.027,0
27.278,12400
27.529,0
27.779,0
28.029,11920
28.279,0
28.53,10160
28.781,0
29.031,10240
29.282,0
29.532,10160
29.783,0
30.032,10400
30.283,0
30.534,10240
30.784,0
31.035,10160
31.286,0
31.536,10240
31.787,0
32.036,10320
32.287,0
32.538,10160
32.788,0
33.039,10240
33.29,0
33.54,10320
33.79,0
34.04,10240
34.291,0
34.541,10160
34.792,0
35.043,10240
35.293,0
35.544,10240
35.794,0
36.044,10240
36.295,0
36.545,10240
36.796,0
37.047,10240
37.297,0
37.548,10240
37.797,0
38.048,9680
38.299,0
38.549,7759
38.8,7759
39.051,0
39.301,7759
39.552,7759
39.801,0
40.052,7759
40.303,0
40.553,7759
40.804,7840
41.054,0
41.305,7920
41.555,7759
41.805,0
42.056,7759
42.306,0
42.557,7759
42.808,7759
43.058,0
43.309,7759
43.558,0
43.809,7759
44.06,7840
44.31,0
44.561,7840
44.811,7759
45.062,0
45.313,7759
45.562,0
45.813,7759
46.063,7840
46.314,0
46.565,7759
46.815,7759
47.066,0
47.315,7840
47.566,0
47.817,7759
48.067,7120
48.318,0
48.568,5760
48.819,5840
49.07,0
49.319,5760
49.57,5840
49.821,5840
50.071,0
50.322,5840
50.572,5840
50.823,5760
51.074,0
51.323,5840
51.574,5760
51.824,0
52.075,5840
52.326,5760
52.576,5760
52.827,0
53.076,5760
53.327,5760
53.578,0
53.828,5920
54.079,5840
54.33,5760
54.58,0
54.831,5760
55.08,5760
55.331,0
55.582,5840
55.832,5760
56.083,5840
56.334,0
56.584,5760
56.835,5840
57.084,0
57.335,5760
57.586,5840
57.836,5840
58.087,0
58.337,3200
58.588,3200
58.839,3280
59.088,3200
59.339,3200
59.59,0
59.84,3200
60.091,3120
60.341,3280
60.592,3200
60.843,3200
61.092,0
61.343,3280
61.594,3120
61.844,3120
62.095,3200
62.346,3200
62.596,0
62.846,3200
63.096,3200
63.347,3200
63.598,3200
63.848,3200
64.099,3280
64.35,0
64.6,3200
64.85,3200
65.1,3200
65.351,3280
65.602,3200
65.852,0
66.103,3200
66.354,3200
66.604,3200
66.854,3280
67.105,3200
67.355,0
67.606,3200
67.856,3200
68.107,4160
68.358,5760
68.608,0
68.858,5840
69.109,5840
69.359,5840
69.61,0
69.86,5840
70.111,5840
70.362,0
70.611,5840
70.862,5760
71.112,5840
71.363,0
71.614,5840
71.864,5840
72.115,0
72.365,5840
72.615,5840
72.866,5840
73.116,0
73.367,5840
73.618,5840
73.868,0
74.119,5840
74.369,5840
74.619,5840
74.87,0
75.12,5840
75.371,5840
75.622,0
75.872,5840
76.123,5760
76.372,5840
76.623,0
76.874,5840
77.124,5840
77.375,0
77.625,5840
77.876,5840
78.127,6800
78.376,0
78.627,7759
78.878,0
79.128,7840
79.379,7840
79.629,0
79.88,7840
80.131,0
80.38,7759
80.631,7840
80.881,0
81.132,7759
81.383,7840
81.633,0
81.884,7759
82.134,0
82.384,7759
82.635,7840
82.885,0
83.136,7759
83.386,7840
83.637,0
83.888,7840
84.137,0
84.388,7840
84.638,7840
84.889,0
85.14,7840
85.39,0
85.641,7840
85.891,7759
86.141,0
86.392,7759
86.642,7840
86.893,0
87.143,7840
87.394,0
87.645,7840
87.895,7759
88.145,0
88.395,10160
88.646,0
88.897,10160
89.147,0
89.398,10240
89.649,0
89.899,10160
90.149,0
90.399,10240
90.65,0
90.901,10160
91.151,0
91.402,10160
91.652,0
91.902,10160
92.153,0
92.403,10160
92.654,0
92.904,10160
93.155,0
93.406,10160
93.656,0
93.906,10160
94.157,0
94.407,10160
94.658,0
94.908,10240
95.159,0
95.41,10240
95.66,0
95.91,10160
96.161,0
96.411,10080
96.662,0
96.912,10160
97.163,0
97.413,10240
97.664,0
97.914,10160
98.164,0
98.415,12400
98.666,0
98.916,0
99.167,12320
99.417,0
99.667,12320
99.918,0
100.168,0
100.419,12240
100.669,0
100.92,12320
101.171,0
101.421,0
101.671,12320
101.922,0
102.172,12320
102.423,0
102.674,0
102.924,12320
103.175,0
103.425,12320
103.675,0
103.926,0
104.176,12240
104.427,0
104.678,12320
104.928,0
105.179,0
105.428,12240
105.679,0
105.93,12240
106.181,0
106.431,0
106.682,12240
106.932,0
107.183,12240
107.433,0
107.683,0
107.934,12240
108.185,0
108.435,7200
108.686,7200
108.937,0
109.187,3440
109.437,0
109.687,0
109.938,0
110.188,0
110.439,0
110.689,0
110.94,0
111.19,0
111.44,0
111.691,0
111.941,0
112.192,0
112.442,0
112.693,0
112.943,0
