Time,RPM
(s),-
10.249,0
10.5,0
10.749,0
11.0,0
11.25,0
11.501,0
11.751,0
12.002,0
12.252,0
12.503,0
12.752,0
13.003,0
13.253,0
13.504,0
13.754,0
14.005,0
14.255,0
14.505,0
14.755,0
15.006,0
15.256,0
15.507,0
15.757,0
16.008,0
16.258,0
16.508,0
16.758,80
17.009,2400
17.259,3200
17.51,3200
17.761,3280
18.011,3200
18.262,3200
18.512,0
18.762,3280
19.013,3200
19.263,3280
19.514,3280
19.765,3200
20.015,0
20.265,3280
20.515,3280
20.766,3200
21.017,3360
21.267,3280
21.518,3200
21.769,0
22.019,3280
22.269,3360
22.52,3200
22.77,3280
23.021,3440
23.271,0
23.522,3280
23.773,3280
24.023,3200
24.273,3200
24.524,3280
24.774,0
25.025,3200
25.275,3280
25.526,3280
25.777,3280
26.027,3280
26.277,0
26.528,3200
26.778,5040
27.029,5680
27.28,0
27.53,5680
27.781,5760
28.03,5760
28.281,0
28.532,5680
28.782,5760
29.033,5680
29.283,0
29.534,5760
29.785,5680
30.034,0
30.285,5680
30.535,5760
30.786,5680
31.037,0
31.287,5680
31.538,5680
31.789,0
32.038,5680
32.289,5680
32.539,5680
32.79,0
33.041,5680
33.291,5680
33.542,5760
33.793,0
34.042,5680
34.293,5680
34.543,0
34.794,5680
35.045,5680
35.295,5680
35.546,0
35.795,5680
36.046,5680
36.297,0
36.547,5680
36.798,7200
37.049,0
37.299,7600
37.55,7600
37.799,0
38.05,7520
38.301,7520
38.551,0
38.802,7520
39.052,0
39.303,7520
39.554,7600
39.803,0
40.054,7680
40.304,7680
40.555,0
40.806,7600
41.056,7600
41.307,0
41.556,7520
41.807,0
42.058,7600
42.308,7600
42.559,0
42.809,7520
43.06,7520
43.311,0
43.56,7600
43.811,0
44.061,7520
44.312,7600
44.563,0
44.813,7520
45.064,7520
45.315,0
45.564,7600
45.815,0
46.065,7600
46.316,7600
46.567,0
46.817,9360
47.068,0
47.318,9840
47.568,0
47.818,9840
48.069,0
48.32,9840
48.57,9840
48.821,0
49.072,9840
49.321,0
49.572,9840
49.822,0
50.073,9840
50.324,0
50.574,9760
50.825,0
51.075,9840
51.325,0
51.575,9760
51.826,0
52.077,9840
52.327,0
52.578,9920
52.828,0
53.079,9760
53.329,0
53.579,9760
53.83,0
54.08,9760
54.331,0
54.581,9760
54.832,9840
55.083,0
55.332,9840
55.583,0
55.833,9760
56.084,0
56.335,9760
56.585,0
56.836,11680
57.086,0
57.336,0
57.587,11760
57.837,0
58.088,11760
58.338,0
58.589,11760
58.84,0
59.089,0
59.34,11760
59.59,0
59.841,11680
60.092,0
60.342,11760
60.593,0
60.843,0
61.093,11680
61.344,0
61.594,11680
61.845,0
62.095,11680
62.346,0
62.597,0
62.846,11760
63.097,0
63.347,11680
63.598,0
63.849,11680
64.099,0
64.35,0
64.6,11680
64.85,0
65.101,11600
65.351,0
65.602,11680
65.852,0
66.103,0
66.354,11600
66.604,0
66.854,9840
67.104,0
67.355,9600
67.606,0
67.856,9600
68.107,0
68.357,9600
68.608,0
68.857,9600
69.108,9680
69.359,0
69.609,9600
69.86,0
70.11,9600
70.361,0
70.611,9680
70.861,0
71.112,9760
71.362,0
71.613,9600
71.864,0
72.114,9680
72.365,0
72.614,9600
72.865,0
73.116,9680
73.366,9680
73.617,0
73.867,9600
74.118,0
74.369,9680
74.618,0
74.869,9680
75.119,0
75.37,9680
75.621,0
75.871,9680
76.122,0
76.371,9600
76.622,0
76.872,7680
77.123,7440
77.374,0
77.624,7440
77.875,7440
78.126,0
78.375,7440
78.626,0
78.876,7440
79.127,7440
79.378,0
79.628,7520
79.879,7440
80.129,0
80.379,7360
80.63,7440
80.88,0
81.131,7440
81.381,0
81.632,7440
81.883,7440
82.132,0
82.383,7440
82.633,7440
82.884,0
83.135,7440
83.385,7440
83.636,0
83.886,7440
84.136,0
84.387,7440
84.637,7520
84.888,0
85.138,7440
85.389,7440
85.64,0
85.89,7440
86.14,7440
86.391,0
86.641,7440
86.892,5760
87.142,0
87.393,5520
87.644,5600
87.894,0
88.144,5600
88.394,5600
88.645,5600
88.896,0
89.146,5600
89.397,5600
89.648,5600
89.897,0
90.148,5600
90.398,5600
90.649,0
90.899,5680
91.15,5520
91.401,5520
91.651,0
91.901,5520
92.152,5600
92.402,0
92.653,5600
92.903,5600
93.154,5600
93.405,0
93.655,5600
93.905,5600
94.156,5760
94.406,0
94.657,5600
94.907,5600
95.158,0
95.409,5600
95.659,5600
95.909,5680
96.16,0
96.41,5600
96.661,5520
96.911,3440
97.162,3200
97.413,0
97.662,3200
97.913,3200
98.164,3200
98.414,3200
98.665,3200
98.915,0
99.166,3280
99.417,3200
99.666,3200
99.917,3280
100.168,3280
100.418,0
100.669,3200
100.92,3200
101.17,3200
101.421,3200
101.671,3200
101.921,3200
102.172,0
102.423,3200
102.673,3200
102.924,3200
103.175,3280
103.425,3200
103.675,0
103.926,3200
104.176,3200
104.427,3200
104.678,3280
104.928,3200
105.179,0
105.43,3200
105.679,3280
105.93,3280
106.181,3200
106.431,3200
106.682,2960
106.933,80
107.183,0
107.433,0
107.683,0
107.934,0
108.185,0
108.435,0
108.686,0
108.936,0
109.187,0
109.436,0
109.687,0
109.937,0
110.188,0
110.438,0
110.689,0
110.939,0
111.19,0
111.439,0
111.69,0
111.94,0
112.191,0
112.441,0
112.692,0
112.943,0
113.192,0
113.443,0
113.693,0
113.944,0
114.194,0
114.445,0
114.695,0
114.946,0
115.195,160
