Time,RPM
(s),-
10.249,0
10.5,0
10.749,0
11.0,0
11.25,0
11.501,0
11.751,0
12.002,0
12.252,0
12.503,0
12.752,0
13.003,0
13.253,0
13.504,0
13.754,0
14.005,0
14.255,0
14.505,0
14.755,0
15.006,0
15.256,0
15.507,0
15.757,0
16.008,0
16.258,0
16.508,0
16.758,0
17.008,0
17.259,0
17.509,0
17.76,0
18.01,0
18.26,0
18.51,0
18.761,0
19.011,0
19.262,800
19.513,6960
19.763,7440
20.014,0
20.263,12400
20.514,0
20.765,12480
21.015,0
21.266,0
21.516,12480
21.767,0
22.018,0
22.267,12320
22.518,0
22.768,12320
23.019,0
23.269,0
23.52,12320
23.771,0
24.02,12320
24.271,0
24.521,0
24.772,12320
25.023,0
25.273,12320
25.524,0
25.774,0
26.024,12240
26.275,0
26.525,12320
26.776,0
27.026,0
27.277,12320
27.528,0
27.778,12320
28.028,0
28.278,0
28.529,12240
28.78,0
29.03,12240
29.281,0
29.531,0
29.782,12240
30.032,0
30.282,10080
30.533,0
30.783,10080
31.034,0
31.284,10080
31.535,0
31.785,10080
32.035,0
32.286,10080
32.537,0
32.787,10080
33.038,0
33.288,10080
33.539,0
33.789,10080
34.039,0
34.29,10080
34.54,0
34.791,10000
35.042,0
35.292,10080
35.543,0
35.792,10080
36.043,0
36.294,10240
36.544,0
36.795,10080
37.046,0
37.296,10080
37.547,0
37.796,10000
38.047,0
38.298,10000
38.548,0
38.799,10160
39.05,0
39.3,10080
39.55,0
39.8,10080
40.051,9600
40.302,0
40.552,7759
40.803,0
41.053,7680
41.304,7680
41.554,0
41.804,7680
42.055,7840
42.305,0
42.556,7680
42.807,0
43.057,7680
43.308,7759
43.557,0
43.808,7680
44.059,0
44.309,7680
44.56,7680
44.81,0
45.061,7759
45.312,7759
45.561,0
45.812,7680
46.062,0
46.313,7680
46.564,7759
46.814,0
47.065,7759
47.314,7680
47.565,0
47.816,7680
48.066,0
48.317,7759
48.567,7680
48.818,0
49.069,7680
49.318,7680
49.569,0
49.819,7680
50.07,0
50.321,5760
50.571,5680
50.822,5680
51.073,0
51.322,5680
51.573,5680
51.823,5840
52.074,0
52.325,5760
52.575,5680
52.826,0
53.075,5760
53.326,5840
53.577,5680
53.827,0
54.078,5760
54.328,5760
54.579,0
54.83,5760
55.079,5840
55.33,5760
55.581,0
55.831,5760
56.082,5760
56.332,0
56.583,5680
56.834,5760
57.083,5760
57.334,0
57.584,5760
57.835,5680
58.086,0
58.336,5840
58.587,5760
58.838,5680
59.087,0
59.338,5760
59.588,5760
59.839,0
60.09,4880
60.34,3120
60.591,3200
60.841,3120
61.091,3120
61.342,0
61.592,3120
61.843,3280
62.094,3120
62.344,3120
62.595,3200
62.845,3120
63.095,0
63.346,3120
63.596,3120
63.847,3120
64.098,3120
64.348,3120
64.599,0
64.849,3200
65.099,3120
65.35,3120
65.6,3200
65.851,3120
66.102,3200
66.352,0
66.603,3120
66.853,3200
67.103,3120
67.354,3120
67.605,3200
67.855,0
68.106,3120
68.356,3120
68.606,3120
68.857,3280
69.107,3120
69.358,3200
69.609,0
69.859,3120
70.11,4080
70.36,5760
70.61,0
70.861,5760
71.111,5840
71.362,5760
71.613,0
71.863,5760
72.114,5760
72.364,5760
72.614,0
72.865,5760
73.115,5760
73.366,0
73.616,5760
73.867,5840
74.118,5760
74.368,0
74.618,5760
74.869,5760
75.119,0
75.37,5680
75.62,5680
75.871,5680
76.122,0
76.371,5680
76.622,5680
76.873,0
77.123,5760
77.374,5840
77.624,5760
77.875,0
78.126,5760
78.375,5760
78.626,0
78.876,5760
79.127,5760
79.378,5760
79.628,0
79.879,5760
80.129,6480
80.379,0
80.63,7759
80.88,7759
81.131,0
81.381,7680
81.632,0
81.883,7759
82.132,7680
82.383,0
82.633,7759
82.884,7759
83.135,0
83.385,7759
83.636,0
83.886,7680
84.136,7759
84.387,0
84.637,7680
84.888,7759
85.139,0
85.389,7680
85.64,0
85.89,7759
86.14,7680
86.391,0
86.641,7680
86.892,7680
87.142,0
87.393,7680
87.644,0
87.894,7759
88.144,7680
88.394,0
88.645,7759
88.896,7759
89.146,0
89.397,7759
89.647,0
89.897,7759
90.148,8720
90.398,0
90.649,10080
90.899,0
91.15,10080
91.401,0
91.651,10080
91.901,0
92.151,10160
92.402,0
92.653,10080
92.903,0
93.154,10080
93.405,0
93.655,10080
93.905,0
94.155,10080
94.406,0
94.657,10080
94.907,0
95.158,10080
95.408,0
95.659,10080
95.909,0
96.159,10080
96.41,0
96.66,10080
96.911,0
97.162,10080
97.412,0
97.662,10080
97.913,0
98.163,10080
98.414,0
98.664,10000
98.915,0
99.166,10080
99.416,0
99.666,10080
99.916,0
100.167,11040
100.418,0
100.668,12240
100.919,0
101.17,0
101.42,12160
101.67,0
101.92,12320
102.171,0
102.422,0
102.672,12160
102.923,0
103.174,12160
103.424,0
103.674,0
103.925,12160
104.175,0
104.426,12160
104.677,0
104.927,0
105.178,12160
105.427,0
105.678,12160
105.929,0
106.179,0
106.43,12160
106.681,0
106.931,12160
107.182,0
107.431,0
107.682,12240
107.933,0
108.183,12240
108.434,0
108.685,12080
108.935,0
109.186,0
109.436,12160
109.686,0
109.937,12160
110.188,0
110.438,7200
110.689,0
110.939,7120
111.19,3520
111.44,0
111.69,0
111.941,0
112.191,0
112.442,0
112.692,0
112.943,0
