,fx,fy,fz,mx,my,mz,v1,v2
0,0.02746582,0.006103516,0.231933594,-0.021972656,0.053710938,0,0,0
0,0.015258789,0.018310547,0.061035156,-0.004882813,0.014648438,0.002441406,0,0
0,0.006103516,0.006103516,-0.024414063,0.002441406,-0.004882813,0.002441406,0,0
0,0.006103516,0,0,0.002441406,-0.007324219,0,0,0
0,0,-0.012207031,0.048828125,0.004882813,0.004882813,-0.002441406,0,0
0,0.02746582,0.009155273,-0.024414063,0.041503906,0.01953125,0.012207031,0,0
0,0.018310547,0.009155273,0,0.036621094,0.021972656,0.007324219,0,0
0,0.018310547,0.024414063,0.012207031,0.048828125,0.014648438,0.009765625,0,0
0,0.024414063,0.033569336,0.024414063,0.046386719,0.009765625,0.009765625,0,0
0,0.02746582,0.018310547,-0.024414063,0.031738281,0.012207031,0.009765625,0,0
0.13566987,0.024414063,0.021362305,-0.036621094,0.029296875,0.009765625,0.012207031,0,0
0.289429056,0.024414063,0.018310547,0,0.031738281,0.009765625,0.009765625,0,0
0.416054268,0.030517578,0.021362305,-0.048828125,0.029296875,0.014648438,0.009765625,0,0
0.54267948,0.02746582,0.018310547,-0.024414063,0.029296875,0.014648438,0.009765625,0,0
0.660260034,0.02746582,0.024414063,0,0.029296875,0.012207031,0.014648438,0,0
0.786885246,0.02746582,0.024414063,0,0.034179688,0.012207031,0.012207031,0,0
0.913510458,0.02746582,0.021362305,-0.012207031,0.029296875,0.012207031,0.012207031,0,0
1.031091012,0.033569336,0.021362305,0,0.026855469,0.014648438,0.012207031,0,0
1.148671566,0.030517578,0.018310547,0,0.031738281,0.012207031,0.009765625,0,0
1.26625212,0.030517578,0.021362305,-0.012207031,0.029296875,0.012207031,0.012207031,0,0
1.383832674,0.02746582,0.021362305,-0.024414063,0.029296875,0.009765625,0.009765625,0,0
1.510457886,0.02746582,0.021362305,-0.024414063,0.031738281,0.004882813,0.012207031,0,0
1.637083098,0.033569336,0.024414063,0,0.029296875,0.004882813,0.009765625,0,0
1.76370831,0.02746582,0.02746582,0.012207031,0.034179688,0.007324219,0.009765625,0,0
