Time,RPM
(s),-
10.249,0
10.5,0
10.749,0
11.0,0
11.25,0
11.501,0
11.751,0
12.002,0
12.252,0
12.503,0
12.752,0
13.003,0
13.253,0
13.504,0
13.754,0
14.005,0
14.255,0
14.505,0
14.755,0
15.006,0
15.256,0
15.507,0
15.757,0
16.008,0
16.258,0
16.508,0
16.758,0
17.008,0
17.259,720
17.51,6640
17.76,6960
18.011,0
18.26,11680
18.511,0
18.762,11760
19.012,0
19.263,11680
19.514,0
19.764,0
20.015,11760
20.264,0
20.515,11680
20.766,0
21.016,11680
21.267,0
21.517,0
21.768,11600
22.019,0
22.268,11680
22.519,0
22.769,11680
23.02,0
23.271,0
23.521,11600
23.772,0
24.022,11600
24.272,0
24.522,11520
24.773,0
25.024,0
25.274,11520
25.525,0
25.775,11600
26.025,0
26.276,11520
26.526,0
26.777,0
27.027,11600
27.278,0
27.529,11440
27.779,0
28.029,11200
28.28,0
28.53,9520
28.781,0
29.031,9520
29.282,0
29.532,9520
29.783,0
30.033,9520
30.283,0
30.534,9600
30.784,9600
31.035,0
31.286,9520
31.536,0
31.787,9520
32.036,0
32.287,9440
32.538,0
32.788,9520
33.039,0
33.289,9520
33.54,0
33.79,9600
34.04,0
34.291,9440
34.541,9520
34.792,0
35.043,9520
35.293,0
35.544,9520
35.793,0
36.044,9520
36.295,0
36.545,9520
36.796,0
37.046,9600
37.297,0
37.547,9520
37.797,9520
38.048,0
38.298,7360
38.549,0
38.799,7280
39.05,7360
39.301,0
39.55,7280
39.801,7360
40.052,0
40.302,7360
40.553,0
40.803,7360
41.054,7280
41.305,0
41.554,7360
41.805,7280
42.055,0
42.306,7440
42.557,7360
42.807,0
43.058,7360
43.308,7280
43.558,0
43.809,7360
44.059,0
44.31,7280
44.56,7360
44.811,0
45.062,7280
45.312,7280
45.562,0
45.812,7360
46.063,7360
46.314,0
46.564,7440
46.815,0
47.065,7360
47.315,7440
47.566,0
47.816,7280
48.067,6960
48.318,0
48.568,5520
48.819,5520
49.069,5440
49.319,0
49.57,5600
49.82,5600
50.071,5440
50.321,0
50.572,5520
50.823,5520
51.073,0
51.323,5600
51.573,5520
51.824,5520
52.075,0
52.325,5520
52.576,5520
52.827,5520
53.076,0
53.327,5440
53.577,5600
53.828,5520
54.079,0
54.329,5520
54.58,5520
54.831,0
55.08,5520
55.331,5600
55.581,5520
55.832,0
56.083,5520
56.333,5520
56.584,5440
56.834,0
57.084,5520
57.335,5600
57.585,0
57.836,5520
58.086,4880
58.337,3120
58.588,3200
58.838,0
59.088,3120
59.339,3120
59.589,3120
59.84,3120
60.091,3120
60.341,3040
60.592,0
60.841,3120
61.092,3120
61.343,3200
61.593,3120
61.844,3120
62.095,3120
62.345,0
62.596,3120
62.845,3120
63.096,3120
63.347,3120
63.597,3200
63.848,0
64.099,3120
64.349,3120
64.6,3120
64.85,3120
65.1,3120
65.351,3120
65.601,0
65.852,3120
66.103,3120
66.353,3120
66.604,3200
66.854,3120
67.104,0
67.355,3120
67.605,3120
67.856,3200
68.107,3920
68.357,5440
68.608,0
68.858,5520
69.108,5520
69.359,0
69.609,5520
69.86,5520
70.111,5520
70.361,0
70.611,5520
70.861,5520
71.112,5520
71.363,0
71.613,5520
71.864,5520
72.115,0
72.365,5520
72.615,5520
72.865,5520
73.116,0
73.367,5520
73.617,5520
73.868,5520
74.119,0
74.369,5520
74.619,5520
74.869,5520
75.12,0
75.371,5520
75.621,5520
75.872,0
76.122,5600
76.372,5520
76.623,5520
76.873,0
77.124,5600
77.375,5520
77.625,5520
77.876,0
78.126,6160
78.376,7440
78.627,0
78.877,7520
79.128,7360
79.378,0
79.629,7360
79.88,0
80.13,7360
80.38,7360
80.631,0
80.881,7360
81.132,7360
81.382,0
81.633,7360
81.884,7360
82.134,0
82.384,7280
82.634,0
82.885,7360
83.136,7360
83.386,0
83.637,7440
83.887,7360
84.137,0
84.388,7280
84.638,7280
84.889,0
85.139,7360
85.39,7360
85.641,0
85.891,7360
86.141,0
86.391,7360
86.642,7360
86.893,0
87.143,7280
87.394,7280
87.644,0
87.895,7360
88.145,8160
88.395,0
88.646,9520
88.896,0
89.147,9520
89.398,0
89.648,9520
89.899,0
90.148,9520
90.399,0
90.65,9520
90.9,0
91.151,9440
91.401,0
91.652,9520
91.902,9520
92.152,0
92.403,9440
92.653,0
92.904,9440
93.155,0
93.405,9520
93.656,0
93.905,9440
94.156,0
94.406,9520
94.657,0
94.908,9520
95.158,9440
95.409,9440
95.66,9600
95.909,0
96.16,9600
96.41,0
96.661,9440
96.912,0
97.162,9440
97.413,0
97.662,9440
97.913,0
98.164,10320
98.414,0
98.665,11440
98.915,0
99.166,11360
99.417,0
99.666,11440
99.917,0
100.167,0
100.418,11360
100.669,0
100.919,11360
101.17,0
101.421,11360
101.67,0
101.921,11360
102.172,0
102.422,0
102.673,11360
102.924,0
103.174,11360
103.425,0
103.674,11280
103.925,0
104.176,11360
104.426,0
104.677,0
104.928,11280
105.178,0
105.428,11360
105.679,0
105.929,11280
106.18,0
106.43,11360
106.681,0
106.932,0
107.182,11440
107.432,0
107.683,11360
107.933,0
108.184,9440
108.435,0
108.685,6800
108.936,6720
109.187,3600
109.436,0
109.687,0
109.937,0
110.188,0
110.438,0
110.689,0
110.939,0
111.19,0
111.44,0
111.69,0
111.941,0
112.191,0
112.442,0
