Time,RPM
(s),-
10.249,0
10.5,720
10.75,0
11.0,0
11.25,0
11.501,0
11.751,0
12.002,0
12.252,0
12.503,0
12.752,0
13.003,0
13.253,0
13.504,0
13.754,0
14.005,0
14.255,0
14.505,0
14.755,0
15.006,0
15.256,0
15.507,0
15.757,0
16.008,0
16.258,0
16.508,0
16.758,0
17.009,0
17.259,400
17.51,3040
17.76,3120
18.011,3120
18.262,3200
18.511,3200
18.762,3200
19.013,0
19.263,3200
19.514,3200
19.764,3200
20.015,3200
20.265,3200
20.515,0
20.766,3120
21.017,3120
21.267,3200
21.518,3200
21.769,3200
22.019,0
22.269,3200
22.519,3200
22.77,3280
23.021,3200
23.271,3280
23.522,3200
23.773,0
24.023,3200
24.273,3280
24.523,3200
24.774,3200
25.025,3200
25.275,0
25.526,3120
25.777,3120
26.027,3280
26.277,3200
26.528,3360
26.778,0
27.029,3440
27.279,5440
27.53,5680
27.781,5600
28.03,0
28.281,5600
28.532,5600
28.782,0
29.033,5600
29.283,5680
29.534,5600
29.785,0
30.034,5600
30.285,5600
30.535,0
30.786,5680
31.037,5600
31.287,5600
31.538,0
31.788,5600
32.038,5600
32.289,5600
32.539,0
32.79,5600
33.041,5600
33.291,0
33.542,5600
33.792,5600
34.042,5600
34.293,0
34.543,5600
34.794,5600
35.045,5680
35.295,0
35.546,5600
35.795,5600
36.046,0
36.297,5680
36.547,5680
36.798,5680
37.049,0
37.299,7520
37.55,7520
37.799,0
38.05,7520
38.301,0
38.551,7520
38.802,7520
39.052,0
39.303,7440
39.554,7520
39.803,0
40.054,7600
40.304,7520
40.555,0
40.806,7440
41.056,0
41.307,7520
41.556,7440
41.807,0
42.058,7520
42.308,7520
42.559,0
42.809,7440
43.06,0
43.311,7520
43.56,7440
43.811,0
44.061,7520
44.312,7600
44.563,0
44.813,7520
45.064,7520
45.315,0
45.564,7520
45.815,0
46.065,7440
46.316,7520
46.567,0
46.817,7440
47.068,7840
47.318,0
47.568,9680
47.819,0
48.069,9840
48.32,0
48.57,9680
48.821,0
49.071,9760
49.321,0
49.572,9760
49.822,0
50.073,9760
50.323,0
50.574,9680
50.825,0
51.075,9680
51.325,9760
51.575,0
51.826,9680
52.077,0
52.327,9680
52.578,0
52.828,9680
53.079,0
53.329,9760
53.579,0
53.83,9680
54.08,0
54.331,9680
54.582,0
54.832,9680
55.083,0
55.332,9680
55.583,0
55.833,9680
56.084,9680
56.335,0
56.585,9760
56.836,0
57.085,10160
57.336,0
57.587,0
57.837,11600
58.088,0
58.338,11600
58.589,0
58.84,11600
59.089,0
59.34,0
59.59,11520
59.841,0
60.092,11680
60.342,0
60.593,11520
60.844,0
61.093,11600
61.344,0
61.594,0
61.845,11520
62.096,0
62.346,11520
62.597,0
62.846,11520
63.097,0
63.347,0
63.598,11520
63.849,0
64.099,11600
64.35,0
64.6,11600
64.85,0
65.101,0
65.351,11600
65.602,0
65.852,11520
66.103,0
66.354,11440
66.604,0
66.854,11520
67.105,0
67.355,9520
67.606,0
67.856,9520
68.107,0
68.357,9520
68.608,0
68.858,9520
69.108,0
69.359,9520
69.609,0
69.86,9600
70.111,0
70.361,9520
70.611,0
70.861,9520
71.112,9680
71.363,0
71.613,9520
71.864,0
72.114,9520
72.365,0
72.614,9680
72.865,0
73.116,9600
73.366,0
73.617,9600
73.868,0
74.118,9600
74.369,0
74.618,9520
74.869,9520
75.12,0
75.37,9520
75.621,0
75.871,9600
76.122,0
76.371,9600
76.622,0
76.873,9600
77.123,0
77.374,7360
77.624,7360
77.875,0
78.126,7360
78.375,7360
78.626,0
78.876,7360
79.127,0
79.378,7360
79.628,7360
79.879,0
80.129,7360
80.379,7360
80.63,0
80.88,7440
81.131,7360
81.382,0
81.632,7440
81.883,0
82.132,7360
82.383,7360
82.634,0
82.884,7440
83.135,7360
83.385,0
83.636,7360
83.887,7520
84.136,0
84.387,7360
84.637,7360
84.888,0
85.139,7360
85.389,0
85.64,7360
85.89,7440
86.14,0
86.391,7360
86.641,7360
86.892,0
87.142,6880
87.393,5600
87.644,0
87.894,5520
88.144,5520
88.395,5600
88.645,0
88.896,5520
89.146,5680
89.397,0
89.648,5600
89.897,5520
90.148,5680
90.399,0
90.649,5520
90.9,5520
91.15,5600
91.401,0
91.652,5600
91.901,5520
92.152,0
92.402,5520
92.653,5600
92.904,5520
93.154,0
93.405,5600
93.655,5600
93.905,5600
94.156,0
94.406,5600
94.657,5600
94.908,0
95.158,5600
95.409,5680
95.659,5600
95.909,0
96.16,5520
96.41,5520
96.661,5600
96.912,0
97.162,4880
97.413,3200
97.662,3120
97.913,3200
98.164,0
98.414,3200
98.665,3200
98.916,3120
99.166,3280
99.417,3120
99.666,3200
99.917,0
100.168,3200
100.418,3120
100.669,3120
100.92,3120
101.17,3200
101.421,0
101.671,3200
101.921,3120
102.172,3200
102.423,3200
102.673,3120
102.924,0
103.175,3120
103.425,3120
103.675,3280
103.926,3120
104.176,3200
104.427,3120
104.678,0
104.928,3120
105.179,3200
105.43,3120
105.68,3280
105.93,3200
106.181,0
106.431,3120
106.682,3200
106.933,3120
107.184,1999
107.433,0
107.684,0
107.934,0
108.185,0
108.435,0
108.686,0
108.936,0
109.187,0
109.436,0
109.687,0
109.938,0
110.188,0
110.439,0
110.689,0
110.94,0
111.19,0
111.44,0
111.69,0
111.941,0
112.191,0
112.442,0
112.692,0
112.943,0
113.192,0
113.443,0
113.693,0
113.944,0
114.195,0
114.445,0
114.696,0
114.946,0
115.196,0
115.446,0
115.697,0
115.947,0
116.198,0
