,fx,fy,fz,mx,my,mz,v1,v2
0,0.02746582,0.006103516,0.231933594,-0.021972656,0.053710938,0,0,0
0,0.015258789,0.018310547,0.061035156,-0.004882813,0.014648438,0.002441406,0,0
0,0.006103516,0.006103516,-0.024414063,0.002441406,-0.004882813,0.002441406,0,0
0,0.006103516,0,0,0.002441406,-0.007324219,0,0,0
0.13566987,0.012207031,0.003051758,-0.012207031,0,-0.009765625,0,0,0
0.280384398,0.006103516,-0.003051758,0,-0.002441406,-0.009765625,0,0,0
0.40700961,0.006103516,-0.009155273,0.024414063,0,-0.009765625,0,0,0
0.533634822,0.006103516,-0.003051758,0.024414063,-0.002441406,-0.009765625,0.004882813,0,0
0.660260034,0.006103516,-0.006103516,0.012207031,-0.002441406,-0.007324219,0.002441406,0,0
0.786885246,0.006103516,-0.003051758,-0.024414063,-0.007324219,-0.009765625,0.002441406,0,0
0.913510458,0,-0.006103516,-0.012207031,-0.007324219,-0.009765625,0.002441406,0,0
1.04013567,0.003051758,-0.003051758,-0.036621094,-0.007324219,-0.012207031,0.002441406,0,0
1.17580554,0.003051758,-0.006103516,0.024414063,-0.007324219,-0.012207031,0.002441406,0,0
1.31147541,0.006103516,-0.006103516,0.012207031,-0.004882813,-0.014648438,0.002441406,0,0
1.438100622,0.006103516,0.003051758,0.012207031,-0.007324219,-0.012207031,0,0,0
1.564725834,0.006103516,0.003051758,0,-0.007324219,-0.012207031,0,0,0
1.700395704,0.003051758,0.006103516,0.024414063,-0.009765625,-0.014648438,0,0,0
1.836065574,0.006103516,0.003051758,0,-0.007324219,-0.012207031,0,0,0
1.962690786,0.006103516,0.006103516,0.024414063,-0.002441406,-0.012207031,0,0,0
2.098360656,0.006103516,0.003051758,0,-0.004882813,-0.012207031,0,0,0
2.224985868,0.012207031,0.006103516,0.012207031,-0.004882813,-0.009765625,0.004882813,0,0
2.342566422,0.009155273,0.006103516,0.012207031,-0.002441406,-0.012207031,0.002441406,0,0
2.460146976,0.012207031,0.003051758,0.012207031,-0.002441406,-0.009765625,0.002441406,0,0
