Time,RPM
(s),-
10.249,0
10.5,0
10.749,0
11.0,0
11.25,0
11.501,0
11.751,0
12.002,0
12.252,0
12.503,0
12.752,0
13.003,0
13.253,0
13.504,0
13.754,0
14.005,0
14.255,0
14.505,0
14.755,80
15.006,2720
15.256,3200
15.507,3280
15.758,3280
16.008,3200
16.259,3280
16.509,0
16.759,3280
17.01,3280
17.26,3200
17.511,3200
17.762,3200
18.012,0
18.263,3200
18.513,3280
18.763,3200
19.014,3200
19.265,3200
19.515,0
19.766,3200
20.016,3280
20.267,3200
20.517,3280
20.767,3200
21.018,3200
21.269,0
21.519,3200
21.77,3280
22.02,3280
22.27,3200
22.521,3200
22.771,0
23.022,3360
23.273,3200
23.523,3200
23.774,3280
24.025,3200
24.274,0
24.525,3200
24.775,5280
25.026,5680
25.277,5680
25.527,0
25.778,5680
26.028,5680
26.278,0
26.529,5600
26.779,5600
27.03,5760
27.281,0
27.531,5680
27.782,5600
28.032,0
28.282,5680
28.533,5680
28.783,5600
29.034,0
29.284,5680
29.535,5680
29.786,5680
30.035,0
30.286,5600
30.537,5680
30.787,0
31.038,5680
31.288,5600
31.539,5680
31.79,0
32.039,5680
32.29,5600
32.541,0
32.791,5680
33.042,5680
33.292,5680
33.543,0
33.794,5680
34.043,5760
34.294,5680
34.544,0
34.795,7280
35.046,7520
35.296,0
35.547,7600
35.796,0
36.047,7520
36.298,7759
36.548,0
36.799,7520
37.049,7600
37.3,0
37.551,7600
37.8,0
38.051,7520
38.301,7520
38.552,0
38.803,7520
39.053,7520
39.304,0
39.555,7600
39.804,0
40.055,7600
40.305,7520
40.556,0
40.807,7520
41.057,7520
41.308,0
41.558,7520
41.808,7520
42.059,0
42.309,7520
42.56,0
42.81,7520
43.061,7520
43.312,0
43.561,7520
43.812,7520
44.062,0
44.313,7520
44.564,0
44.814,9600
45.065,9840
45.315,0
45.565,9840
45.816,0
46.066,9760
46.317,0
46.567,9760
46.818,0
47.069,9760
47.319,0
47.569,9760
47.819,0
48.07,9760
48.321,0
48.571,9840
48.822,0
49.072,9760
49.323,0
49.572,9680
49.823,0
50.074,9760
50.324,9840
50.575,0
50.825,9760
51.076,0
51.326,9680
51.576,0
51.827,9680
52.077,0
52.328,9760
52.579,0
52.829,9760
53.08,0
53.329,9760
53.58,0
53.83,9760
54.081,0
54.332,9680
54.582,0
54.833,11680
55.084,0
55.333,11680
55.584,0
55.834,11760
56.085,0
56.336,0
56.586,11680
56.837,0
57.086,11680
57.337,0
57.587,11600
57.838,0
58.089,0
58.339,11600
58.59,0
58.84,11600
59.09,0
59.341,11600
59.591,0
59.842,0
60.092,11600
60.343,0
60.594,11760
60.844,0
61.094,11600
61.345,0
61.595,0
61.846,11680
62.096,0
62.347,11600
62.598,0
62.848,11520
63.098,0
63.348,11600
63.599,0
63.85,0
64.1,11600
64.351,0
64.601,11360
64.851,0
65.102,9520
65.352,0
65.603,9600
65.853,0
66.104,9600
66.355,0
66.605,9600
66.855,9520
67.105,9520
67.356,9520
67.607,0
67.857,9600
68.108,0
68.358,9680
68.609,0
68.859,9600
69.109,0
69.36,9600
69.61,0
69.861,9680
70.112,0
70.362,9600
70.612,0
70.862,9520
71.113,9600
71.364,0
71.614,9520
71.865,0
72.115,9600
72.366,0
72.615,9600
72.866,0
73.117,9520
73.367,0
73.618,9520
73.868,0
74.119,9600
74.37,0
74.619,9440
74.87,7440
75.12,0
75.371,7360
75.622,7440
75.872,0
76.123,7360
76.372,0
76.623,7440
76.874,7360
77.124,0
77.375,7360
77.625,7360
77.876,0
78.127,7360
78.376,7440
78.627,0
78.877,7360
79.128,0
79.379,7360
79.629,7360
79.88,0
80.13,7440
80.38,7360
80.631,0
80.881,7440
81.132,7360
81.383,0
81.633,7440
81.884,0
82.134,7440
82.384,7360
82.635,0
82.885,7440
83.136,7520
83.386,0
83.637,7360
83.888,7360
84.137,0
84.388,7440
84.638,0
84.889,5680
85.14,5600
85.39,5600
85.641,0
85.891,5600
86.141,5600
86.392,5600
86.642,0
86.893,5520
87.144,5600
87.394,0
87.645,5600
87.895,5520
88.145,5600
88.396,0
88.646,5600
88.897,5520
89.148,5680
89.398,0
89.649,5600
89.899,5520
90.149,0
90.4,5600
90.65,5680
90.901,5600
91.152,0
91.402,5600
91.653,5600
91.902,5520
92.153,0
92.404,5600
92.654,5520
92.905,0
93.155,5600
93.406,5520
93.657,5600
93.906,0
94.157,5600
94.407,5520
94.658,5280
94.909,0
95.159,3120
95.41,3120
95.661,3200
95.91,3120
96.161,3120
96.412,0
96.662,3120
96.913,3200
97.163,3120
97.414,3360
97.665,3200
97.914,3120
98.165,0
98.416,3200
98.666,3120
98.917,3200
99.167,3200
99.418,3120
99.668,0
99.918,3200
100.169,3120
100.42,3120
100.67,3200
100.921,3120
101.172,3120
101.422,0
101.672,3120
101.923,3120
102.173,3200
102.424,3120
102.675,3120
102.925,0
103.176,3120
103.427,3200
103.676,3200
103.927,3120
104.178,3120
104.429,3200
104.679,0
104.93,80
105.18,0
105.431,0
105.68,0
105.931,0
106.181,0
106.432,0
106.683,0
106.933,0
107.184,0
107.433,0
107.684,0
107.934,0
108.185,0
108.435,0
108.686,0
108.936,0
109.187,0
109.436,0
109.687,0
109.937,0
110.188,0
110.438,0
110.689,0
110.94,0
111.19,0
111.44,0
111.69,0
111.941,0
112.191,0
