Time,RPM
(ms),-
332,0
666,0
1000,0
1333,0
1667,0
2000,0
2334,0
2668,0
3002,0
3335,0
3668,0
4002,0
4336,0
4670,0
5003,0
5337,0
5670,0
6004,0
6338,0
6672,0
7005,0
7339,0
7672,0
8006,0
8340,0
8673,0
9007,0
9340,0
9674,0
10008,0
10342,360
10676,0
11009,0
11342,0
11676,0
12010,0
12344,0
12678,0
13011,0
13344,0
13678,0
14012,0
14346,0
14680,0
15013,0
15347,900
15681,0
16014,0
16348,0
16681,0
17015,0
17349,0
17683,0
18017,0
18350,0
18683,0
19017,0
19351,0
19685,0
20019,0
20353,1980
20686,2880
21020,2880
21354,2700
21688,2340
22022,2520
22355,2700
22689,2700
23023,2340
23357,2700
23691,3060
24025,2700
24358,2340
24692,2700
25026,2700
25360,2700
25694,2340
26028,0
26361,2880
26695,2700
27029,2340
27363,2520
27697,2880
28030,3060
28364,2340
28698,2700
29032,2700
29366,2880
29700,2340
30033,2340
30367,2880
30701,3060
31035,2880
31369,2340
31703,0
32035,3060
32369,2700
32703,2340
33037,2700
33371,2700
33704,2520
34038,2340
34372,2700
34706,3060
35041,2520
35375,2340
35708,2700
36042,2880
36376,2880
36710,2340
37044,2340
37378,0
37710,2880
38044,2700
38378,2340
38712,2520
39046,2880
39379,2880
39713,2340
40047,3240
40381,3960
40715,3960
41049,3780
41383,4140
41717,3960
42051,0
42384,3780
42718,3960
43052,3960
43385,4140
43719,4140
44053,4140
44387,4140
44721,3960
45054,4140
45388,3780
45722,4140
46056,0
46390,4140
46724,4140
47057,4140
47391,4140
47725,4140
48059,3960
48393,3780
48727,3960
49060,3960
49394,4140
49728,0
50062,4140
50396,3960
50729,4140
51063,4140
51397,3780
51731,4320
52065,3960
52399,4140
52732,4140
53066,4140
53400,0
53734,4140
54068,3960
54402,3960
54735,3960
55069,3780
55403,4140
55737,3960
56071,4140
56404,3960
56738,4140
57072,3780
57406,0
57740,3960
58074,3960
58407,4140
58741,3780
59075,4140
59409,3780
59743,4140
60077,4860
60410,5040
60744,5220
61078,0
61412,5220
61746,5580
62080,5040
62413,5220
62747,5400
63081,5400
63415,5220
63749,0
64082,5220
64416,5220
64750,5220
65084,5220
65418,5220
65752,5220
66085,5580
66419,5220
66753,0
67087,5040
67421,5400
67755,5220
68088,5400
68422,5040
68756,5400
69090,5040
69424,5220
69757,0
70091,5220
70425,5220
70759,5220
71093,5580
71427,5040
71760,5400
72094,5220
72428,0
72762,5040
73096,5400
73430,5400
73763,5580
74097,5220
74431,5580
74765,5400
75099,5220
75432,0
75766,5220
76100,5220
76434,5220
76768,5040
77102,5040
77435,5580
77769,5040
78103,5400
78437,0
78771,5400
79105,5400
79438,5220
79772,5220
80106,6120
80440,6480
80774,6120
81107,0
81440,6660
81774,6300
82108,6300
82442,6300
82777,6300
83110,6120
83444,0
83777,6300
84111,6300
84445,6120
84779,6120
85112,6300
85446,6300
85780,6120
86114,0
86448,6120
86781,5940
87115,6300
87449,6120
87783,6300
88117,6120
88451,0
88784,6120
89118,6120
89452,6120
89786,6120
90120,6300
90454,6120
90787,0
91121,6120
91455,6300
91789,6300
92123,6120
92456,6120
92790,6300
93124,6120
93458,0
93792,6120
94126,6120
94459,6120
94793,6120
95127,6300
95461,6480
95795,0
96129,6300
96462,6480
96796,6480
97130,6660
97464,6660
97798,6300
98131,0
98465,6300
98799,6120
99133,6300
99467,6480
99801,6120
100134,4140
100468,2340
100802,2520
101136,2880
101470,0
101804,2340
102137,2880
102471,2880
102805,2700
103139,2520
103473,2700
103806,2880
104140,2340
104474,2700
104809,2880
105143,2520
105477,2340
105810,2880
106144,2880
106478,2520
106812,2700
107146,2880
107480,0
107813,2340
108147,2520
108481,2880
108815,2700
109149,2340
109483,2880
109816,2880
110150,2880
110484,2340
110818,2880
111152,2880
111485,2880
111819,2340
112153,3060
112487,2880
112822,2520
113156,0
113489,3060
113823,2880
114157,2520
114491,2700
114825,2880
115159,2700
115492,2520
115826,2700
116160,3060
116494,2880
116828,2700
117161,2340
117495,2880
117829,2880
118163,2520
118497,2340
118831,0
119164,2880
119498,2700
119832,2340
120166,3420
120500,4140
120834,3780
121167,4320
121502,4140
121836,3780
122170,4140
122504,3960
122838,4140
123171,0
123505,4500
123839,3960
124173,4140
124507,3780
124840,4140
125174,3780
125508,4140
125842,3960
126176,3960
126510,3960
126843,0
127177,4320
127511,3780
127845,4500
128179,3780
128513,3960
128846,3960
129180,4320
129514,3960
129848,3960
130182,4320
130516,0
130849,3960
131184,3960
131518,4140
131852,4140
132186,3960
132519,4140
132853,3960
133187,4320
133521,3960
133855,4320
134189,0
134522,4140
134856,3960
135190,3960
135524,3960
135858,4320
136192,3960
136525,4140
136859,3960
137193,4140
137527,3960
137861,3960
138194,0
138528,4140
138862,3960
139196,4320
139530,4140
139864,3960
140198,4680
140532,5040
140866,5040
