Time,RPM
(ms),-
332,0
666,0
1000,0
1333,0
1667,0
2000,0
2334,0
2668,0
3002,0
3335,0
3668,0
4002,0
4336,0
4670,0
5003,0
5337,0
5670,360
6004,180
6338,0
6672,0
7006,0
7339,0
7672,0
8006,0
8340,0
8674,0
9007,0
9340,0
9674,0
10008,0
10342,0
10676,0
11009,0
11342,0
11676,0
12010,0
12344,0
12678,0
13011,0
13345,0
13678,0
14012,0
14346,0
14680,0
15013,0
15347,0
15681,0
16014,0
16348,360
16681,11160
17015,12600
17349,12600
17683,0
18017,12420
18351,12420
18684,12420
19018,0
19352,12420
19686,12240
20020,12240
20354,0
20687,12240
21021,12420
21355,0
21689,12420
22023,12240
22356,12240
22690,0
23024,12240
23358,12240
23692,12420
24027,0
24359,12240
24693,12420
25027,12060
25362,0
25695,12420
26029,12420
26363,0
26696,12240
27030,12600
27364,12240
27699,0
28032,12240
28365,12240
28700,12240
29034,0
29367,12240
29701,12240
30035,12060
30369,0
30702,12060
31037,12060
31371,0
31704,12060
32037,12420
32372,12240
32706,0
33039,12240
33374,12240
33708,12060
34041,0
34374,12060
34709,12420
35043,12060
35377,0
35710,12240
36044,12240
36378,0
36711,12060
37046,12060
37380,12060
37713,0
38046,12060
38381,12060
38715,12060
39049,0
39383,12060
39716,12060
40050,12060
40384,0
40718,12420
41052,12420
41385,0
41718,12240
42053,12240
42387,12060
42721,0
43055,12060
43388,12060
43722,12060
44056,0
44390,12240
44724,12060
45058,12060
45391,0
45725,12240
46059,12240
46393,1800
46727,0
47059,0
47393,0
47727,0
48061,0
48395,0
48729,0
49062,0
49396,0
49729,0
50063,0
50397,0
50731,0
51064,0
