Time,RPM
(ms),-
332,0
666,0
1000,0
1333,0
1667,0
2000,0
2334,0
2668,720
3002,0
3335,0
3668,0
4002,180
4336,0
4670,0
5004,0
5337,0
5670,0
6004,0
6338,0
6672,0
7006,0
7339,0
7672,0
8006,0
8340,0
8674,0
9007,0
9340,0
9674,0
10008,0
10342,0
10676,0
11009,0
11342,360
11676,0
12010,0
12344,0
12678,0
13011,0
13345,0
13678,0
14012,0
14346,0
14680,0
15013,0
15347,0
15681,0
16015,0
16348,0
16681,0
17015,0
17349,0
17683,0
18017,0
18351,0
18683,0
19017,0
19351,0
19685,0
20019,0
20353,0
20686,0
21019,0
21353,180
21687,4320
22021,3960
22354,3780
22688,3960
23022,3780
23356,3960
23690,4320
24024,4140
24357,4140
24691,3780
25025,3960
25359,0
25693,3960
26027,3960
26360,4140
26694,4140
27028,4140
27362,4140
27696,3780
28029,4140
28363,4140
28697,3960
29031,0
29365,3780
29699,3960
30032,3960
30366,3960
30700,3960
31034,3780
31368,5400
31702,6300
32035,6120
32369,0
32703,6480
33037,6120
33371,6300
33704,6120
34038,6120
34372,6300
34706,0
35040,6120
35374,6300
35707,6300
36041,5940
36375,6300
36709,6300
37043,6120
37377,0
37710,5940
38044,6120
38378,6120
38712,5940
39046,6300
39379,6120
39713,0
40047,6120
40381,5940
40715,5940
41049,6480
41382,7560
41716,8280
42050,0
42384,8100
42718,8280
43052,8280
43385,8100
43719,8460
44053,0
44387,8280
44721,8280
45054,8280
45388,8100
45722,0
46056,8280
46390,8280
46724,8280
47057,8460
47391,8280
47725,0
48058,8280
48392,8280
48726,8280
49059,8280
49393,0
49727,8100
50061,8100
50395,8100
50728,8100
51062,8100
51396,0
51730,10440
52064,10260
52398,10620
52731,0
53065,10620
53399,10260
53733,10440
54067,10440
54401,0
54734,10800
55068,10260
55402,10440
55736,0
56070,10260
56403,10440
56737,10440
57072,10440
57406,0
57739,10440
58074,10440
58407,10260
58741,0
59074,10260
59409,10260
59743,10260
60077,0
60409,10440
60744,10260
61078,10620
61412,11880
61746,0
62080,12240
62413,12240
62747,0
63081,12240
63415,12600
63749,12240
64082,0
64416,12240
64750,12240
65084,12060
65418,0
65752,12240
66085,12600
66419,12420
66753,0
67087,12420
67421,12420
67755,0
68088,12060
68422,12240
68756,12420
69090,0
69424,12060
69757,12240
70091,12240
70425,0
70759,12240
71093,12240
71427,2520
71760,0
72094,0
72427,0
72761,0
73095,0
73428,0
73762,0
74096,0
74430,0
74763,0
75097,0
75430,0
75764,0
76098,0
76432,0
76766,0
77099,0
77432,0
77766,0
78100,0
78434,0
78768,0
79101,0
79435,0
79768,0
80102,0
80436,0
80770,0
81103,0
81437,0
81771,0
82104,0
82438,0
82771,0
83105,0
83439,0
83773,0
84107,0
84440,0
84773,0
85107,0
85441,0
85775,0
86109,0
86443,0
86776,0
87109,0
