Time,RPM
(ms),-
332,0
666,0
1000,0
1333,0
1667,0
2000,0
2334,0
2668,0
3002,0
3335,0
3668,0
4002,0
4336,0
4670,0
5003,0
5337,0
5670,0
6004,0
6338,3240
6672,11700
7006,11700
7340,11520
7673,0
8007,11700
8341,11880
8675,11520
9009,0
9341,11700
9675,11520
10009,12060
10343,0
10677,11700
11011,11520
11344,11700
11678,0
12012,11520
12346,11520
12680,11520
13014,0
13347,11700
13681,11880
14015,11700
14350,0
14683,11340
15016,11700
15350,11700
15685,0
16018,11520
16352,9360
16686,9720
17019,0
17353,9360
17687,9180
18021,9360
18355,9180
18689,0
19022,9180
19356,9180
19690,9360
20024,9180
20358,0
20691,9360
21025,9360
21359,9360
21693,9360
22027,0
22361,9180
22694,9540
23028,9360
23362,9360
23696,0
24030,9180
24364,9360
24697,9360
25031,9540
25365,0
25699,9540
26033,9180
26366,8100
26700,8280
27034,0
27368,8100
27702,8280
28036,8280
28369,8280
28703,8280
29037,0
29371,8100
29705,8100
30039,8100
30372,8100
30706,8100
31040,0
31374,8100
31708,8100
32041,8460
32375,8280
32709,0
33042,8280
33376,8280
33710,8100
34043,8280
34377,8100
34711,0
35045,8280
35379,8280
35713,8280
36046,7020
36380,360
36714,0
37048,0
37382,0
37715,0
38049,0
38383,0
38716,0
39050,0
39384,0
39717,0
40051,0
40385,0
40719,0
41053,0
41385,0
41719,0
42053,0
42387,0
42721,0
43055,0
43388,0
43721,0
44055,0
44389,0
44723,0
45057,0
45390,0
45724,0
46057,0
46391,0
46725,0
47058,0
47392,0
47726,0
