Time,RPM
(ms),-
332,0
666,0
1000,0
1333,0
1667,0
2000,0
2334,0
2668,0
3002,0
3335,0
3668,0
4002,0
4336,0
4670,0
5003,0
5337,0
5670,0
6004,0
6338,0
6672,0
7005,0
7339,0
7672,0
8006,0
8340,0
8673,0
9007,0
9340,0
9674,0
10008,0
10342,0
10675,0
11009,0
11342,360
11676,0
12010,0
12344,0
12678,0
13011,0
13344,0
13678,0
14012,0
14346,0
14680,0
15013,0
15347,0
15680,0
16014,0
16348,0
16681,0
17015,0
17349,0
17683,0
18016,0
18350,0
18683,0
19017,0
19351,0
19685,0
20019,0
20353,0
20685,360
21019,13500
21353,12060
21687,12240
22022,0
22354,11520
22688,11700
23022,11520
23357,0
23690,11880
24024,11520
24358,11520
24692,0
25025,11520
25359,11700
25694,11520
26028,0
26360,11520
26695,11700
27029,11700
27363,0
27696,11880
28030,11520
28364,11520
28698,0
29031,11700
29366,11880
29700,11700
30033,0
30367,11520
30701,11340
31035,11880
31369,0
31703,11880
32036,11880
32370,10620
32704,0
33038,1800
33372,1260
33705,540
34039,180
34372,0
34706,0
35040,0
35374,0
35707,0
36041,0
36375,0
36708,0
37042,0
37376,0
37709,0
